歌手名字,歌手ID
浜崎あゆみ,16405
Anan Ryoko,16069
雨宮天,932027
三浦透子,32664726
宇多田ヒカル,18122
さユり,1116297
小野リサ,17479
椎名林檎,17635
西野カナ,17313
Celeina Ann,1192441
安田レイ,787220
のぶなが,191321
森永真由美,17227
EVO+,1154015
久保ユリカ,900294
水樹奈々,17028
高橋李依,1120106
羽生まゐご,12741288
miwa,17120
aori,12248031
nayuta,17401
Lia,16993
倉木麻衣,161545
熊太kuma,12428075
豊崎愛生,17966
Orangestar,1072042
ナナヲアカリ,28083218
井口裕香,16625
中島みゆき,17307
辻詩音,17644
+α/あるふぁきゅん。,1050587
中川奈美,1072022
Stack,778009
Lyn,12262949
ななひら,15021
ef,851304
IA,190861
いとうかなこ,16277
小倉唯,17554
前田愛,17122
のみこ,17423
めらみぽっぷ,17207
麗美,17622
ルルティア,17597
水月陵,17249
青木カレン,16010
原田ひとみ,16486
歌手名字,歌手ID
RADWIMPS,21132
V.A.,21138
音乐治疗,896513
ONE OK ROCK,20878
MYTH & ROID,1137126
SawanoHiroyuki[nZk],1096011
ヨルシカ,12390232
ハンバート ハンバート,19678
cinnamons,12603665
evening cinema,12440166
Valentin,22247
いきものがかり,19270
fripSide,19395
EGOIST,19353
King Gnu,12551173
RAM WIRE,21162
Goose house,19618
日语听力,865134
Foxtail-Grass Studio,19481
H△G,996276
S.E.N.S.,21309
Mili,339594
上海アリス幻樂団,15345
ラムジ,21196
ずっと真夜中でいいのに。,15021101
GENERATIONS from EXILE TRIBE,711243
ゴンチチ,20041
amazarashi,18480
End of the World,21463
Falcom Sound Team jdk,19455
SPYAIR,21503
MY FIRST STORY,20689
贵族乐团,958026
supercell,21397
whiteeeen,1051003
REOL,12143052
ヒトリエ,784134
六三四,20545
女王蜂,22492
Roselia,12385096
The Nature Sounds Society Japan,22095
ClariS,18961
Mrs. GREEN APPLE,1087614
7!!,22540
moumoon,20463
嵐,20292
Flower,19446
DEPAPEPE,19107
サカナクション,21377
m.o.v.e,20466
Della,19205
幽閉サテライト,22435
ボイジャー,19873
Kalafina,20032
MONKEY MAJIK,20453
Poppin'Party,12274228
GARNiDELiA,19605
CAGNET,18918
back number,18771
ワルキューレ,161017
みかん箱,20578
放課後ティータイム,161782
M.Graveyard,20579
UVERworld,22300
Official髭男dism,1064050
FictionJunction,19391
MIA,20544
HoneyComeBear,12675383
FLOW,19393
東京事変,21821
Perfume,20965
HoneyWorks,19859
FELT,19460
和楽器バンド,906077
RSP,21140
スピッツ,21308
YUC'e,12054347
SOUL'd OUT,21328
古川本舗,19475
Piano Master,21045
WANDS,22299
Chouchou,857097
XX:me,13222556
ステレオポニー,21314
JABBERLOOP,19997
UPLIFT SPICE,22191
いろのみ,19299
ROOKiEZ is PUNK'D,21192
Sound Horizon,21306
TAMUSIC,21967
GReeeeN,19550
OxT,1080016
The fin.,942028
シド,19970
Canappeco,18879
ANANT-GARDE EYES,11995148
Foorin,28102365
Kiroro,20034
Da-iCE,784192
BEGIN,18707
歌手名字,歌手ID
Zico,160347
July,123825
G-Dragon,123577
俊昊,190319
AEZR,32628542
KCM,124026
CIKI,27889470
SHAUN,1150188
权正烈,1053028
Tiger JK,126600
J_ust,1108042
HYE SUNG,12311110
朴宰范,124542
Code Kunst,1047400
Bonca金柱,31217409
Yiruma,124097
灿烈,1011017
伯贤,1047070
太阳,124831
Loco,124303
龙俊亨,196774
辉星,123641
Giriboy,719006
Damiano,369585
Rain,124593
JIDA,12150055
October,124470
DEAN,1124004
YYKBZ,12268099
MJ,124333
Gary,869001
SUGA,1088131
D.O.,1019321
RM,1044137
郭泰勋,1050538
郑镒勋,1046469
甘雨,124739
PSY,124492
Kid Milli,12046230
Choi Nakta,1137403
Vine,12311326
Crush,711186
李洪基,761018
MC 梦,124311
禹元材,12504056
nafla,1182660
Bizzy,193266
金昌万,123769
黄致列,1087387
Paul Kim,1137437
Turbotronic,124853
Dok2,123416
SAM KIM,905428
Jung Kook,1075078
Mario,124316
Gray,123616
张利贞,868129
金钟国,123748
j-hope,1088128
Jimin,1075080
Aiobahn,1137416
DPR LIVE,12121368
Why,1081889
李文世,124127
The One,124845
赵权,125105
IONE,12068070
Chen,967037
Simon D,124684
柳善皓,12630042
CHANGMO,12009113
有谦,12046879
pH-1,12202125
Young B,12355244
Jami Soul,123813
Tablo,124872
宋旻浩,985011
郑容和,123908
Crepe,123386
V,1088125
Meego,14712122
Cosmic Boy,13974098
Keith Ape,1120063
NO:EL,12551287
Chan,28387497
BamBam,537416
1ho,28391255
DinDin,896176
Sanchez,124729
成始璄,123310
Verbal Jint,124925
吴赫,1054133
Jin,1165036
San E,124730
BOiTELLO,12977715
Swings,124713
田锡万,12080207
张凡俊,991010
kumira,12870750
Nu.D,1032077
歌手名字,歌手ID
IU,160947
ARin,32140406
J.Fla,805090
泫雅,126066
Ailee,125175
宣美,818678
洪真英,125394
白智英,125216
Jinsil,1025248
JENNIE,12061232
尹美莱,126011
敏雅,493780
rosy,12289114
Rachel Lim,12544217
Stella Jang,1054076
李妍智,125549
Punch,1043105
金喜善,203245
Hari,125416
Suran,1081589
Dalda,12107667
Morrie,125762
李宝蓝,125686
Younha,126101
DIA,125296
泰仁,126019
孝琳,818694
모트,12902407
Sugarhate,12090010
Kassy,1137056
EXY,1169002
李贞贤,125616
Blue.D,28085394
蔡妍,125230
Leebada,1075093
太妍,125506
赵贤雅,718007
智妍,896243
李遐怡,181009
MIWOO,1097005
Mi-Yu,1066121
华莎,1050391
